Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Roseola,10,"high fever, runny nose, rash, irritability, swollen lymph nodes, sore throat, vomiting, abdominal pain, body aches, chills, feverish",high fever runny nose rash irritability swollen lymph node sore throat vomiting abdominal pain body ache chill feverish,11
"Hand, Foot, and Mouth Disease",3,"fever, loss of appetite, blisters, fatigue, cough, sore muscles, headache, general discomfort, mild fever",fever loss appetite blister fatigue cough sore muscle headache general discomfort mild fever,9
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, bloody stools, stomach cramps, dehydration, muscle aches, body aches, general discomfort, chills",abdominal pain cramp nausea vomiting bloody stool stomach cramp dehydration muscle ache body ache general discomfort chill,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, vomiting, bloody stools, stomach cramps, fatigue, loss of appetite, joint pain",diarrhea vomiting bloody stool stomach cramp fatigue loss appetite joint pain,7
Roseola,10,"high fever, rash, irritability, swollen lymph nodes, sore throat, cough, red eyes, feverish",high fever rash irritability swollen lymph node sore throat cough red eye feverish,8
Roseola,10,"high fever, rash, swollen lymph nodes, sore throat, abdominal pain, body aches, rashes, chills, feverish",high fever rash swollen lymph node sore throat abdominal pain body ache rash chill feverish,9
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes, sore throat, red eyes, loss of appetite, body aches, chills, feverish",high fever runny nose fatigue swollen lymph node sore throat red eye loss appetite body ache chill feverish,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, stomach cramps, fatigue, body aches, chills",diarrhea nausea vomiting bloody stool stomach cramp fatigue body ache chill,8
Norovirus Infection,8,"muscle aches, nausea, headache, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, irritability",muscle ache nausea headache abdominal pain loss appetite dehydration chill sweating body ache irritability,10
Roseola,10,"high fever, irritability, swollen lymph nodes, headache, cough, red eyes, diarrhea, vomiting, loss of appetite, body aches, chills",high fever irritability swollen lymph node headache cough red eye diarrhea vomiting loss appetite body ache chill,11
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, headache, fatigue, dehydration, chills, sweating",diarrhea stomach cramp muscle ache headache fatigue dehydration chill sweating,8
Mumps,7,"headache, swollen painful salivary glands, pain while chewing or swallowing, muscle aches, tiredness, trouble chewing, loss of appetite",headache swollen painful salivary gland pain chewing swallowing muscle ache tiredness trouble chewing loss appetite,7
Shigellosis (Bacillary Dysentery),13,"fever, nausea, bloody stools, fatigue, dehydration, feverish, general discomfort, chills, joint pain",fever nausea bloody stool fatigue dehydration feverish general discomfort chill joint pain,9
Scarlet Fever,12,"fever, red lines in body folds, pale skin around lips, abdominal pain",fever red line body fold pale skin around lip abdominal pain,4
Roseola,10,"high fever, rash, irritability, fatigue, headache, cough, red eyes, diarrhea, vomiting, loss of appetite, body aches, rashes, feverish",high fever rash irritability fatigue headache cough red eye diarrhea vomiting loss appetite body ache rash feverish,13
Roseola,10,"high fever, rash, fatigue, swollen lymph nodes, red eyes, rashes, chills, feverish",high fever rash fatigue swollen lymph node red eye rash chill feverish,8
Roseola,10,"high fever, rash, fatigue, sore throat, headache, cough, red eyes, loss of appetite, chills, feverish",high fever rash fatigue sore throat headache cough red eye loss appetite chill feverish,10
Norovirus Infection,8,"low-grade fever, muscle aches, nausea, fatigue, loss of appetite, dehydration, sweating, body aches, rashes, irritability",low-grade fever muscle ache nausea fatigue loss appetite dehydration sweating body ache rash irritability,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, dehydration, muscle aches, chills, joint pain",abdominal pain cramp nausea vomiting dehydration muscle ache chill joint pain,7
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, headache, fatigue, sweating, body aches, rashes, fever, irritability",diarrhea vomiting stomach cramp headache fatigue sweating body ache rash fever irritability,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, stomach cramps, fatigue, loss of appetite, body aches, feverish, rashes",abdominal pain cramp nausea stomach cramp fatigue loss appetite body ache feverish rash,8
Norovirus Infection,8,"diarrhea, nausea, abdominal pain, sweating, general discomfort, fever, irritability",diarrhea nausea abdominal pain sweating general discomfort fever irritability,7
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, nausea, headache, abdominal pain, dehydration, chills, sweating, rashes, fever",diarrhea stomach cramp low-grade fever nausea headache abdominal pain dehydration chill sweating rash fever,11
Norovirus Infection,8,"stomach cramps, low-grade fever, headache, fatigue, dehydration, general discomfort, irritability",stomach cramp low-grade fever headache fatigue dehydration general discomfort irritability,7
Norovirus Infection,8,"vomiting, stomach cramps, muscle aches, nausea, loss of appetite, dehydration, rashes, general discomfort, fever",vomiting stomach cramp muscle ache nausea loss appetite dehydration rash general discomfort fever,9
Norovirus Infection,8,"vomiting, muscle aches, nausea, loss of appetite, chills, body aches, rashes, general discomfort, fever, irritability",vomiting muscle ache nausea loss appetite chill body ache rash general discomfort fever irritability,10
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, loss of appetite, dehydration, sweating, fever, irritability",diarrhea stomach cramp low-grade fever muscle ache nausea loss appetite dehydration sweating fever irritability,10
Norovirus Infection,8,"diarrhea, vomiting, nausea, fatigue, loss of appetite, chills, sweating, body aches, general discomfort, fever",diarrhea vomiting nausea fatigue loss appetite chill sweating body ache general discomfort fever,10
Mumps,7,"headache, fever, muscle aches, tiredness",headache fever muscle ache tiredness,4
Roseola,10,"rash, headache, diarrhea, chills",rash headache diarrhea chill,4
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, dehydration, loss of appetite, muscle aches, feverish, general discomfort, joint pain",diarrhea nausea vomiting bloody stool dehydration loss appetite muscle ache feverish general discomfort joint pain,10
Roseola,10,"high fever, irritability, sore throat, headache, red eyes, loss of appetite, body aches, feverish",high fever irritability sore throat headache red eye loss appetite body ache feverish,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, bloody stools, headache, dehydration, body aches, rashes, joint pain",fever abdominal pain cramp diarrhea nausea bloody stool headache dehydration body ache rash joint pain,10
"Hand, Foot, and Mouth Disease",3,"fever, loss of appetite, mouth sores, blisters, general discomfort, difficulty swallowing",fever loss appetite mouth sore blister general discomfort difficulty swallowing,6
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, vomiting, headache, dehydration, loss of appetite, muscle aches, chills",fever diarrhea nausea vomiting headache dehydration loss appetite muscle ache chill,9
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, bloody stools, headache, loss of appetite, muscle aches, feverish, chills",fever diarrhea nausea bloody stool headache loss appetite muscle ache feverish chill,9
"Hand, Foot, and Mouth Disease",3,"sores in mouth, loss of appetite, irritability, sore throat, red spots, blisters, fatigue, cough, sore muscles",sore mouth loss appetite irritability sore throat red spot blister fatigue cough sore muscle,9
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, nausea, fatigue, abdominal pain, loss of appetite, sweating, rashes",vomiting stomach cramp low-grade fever nausea fatigue abdominal pain loss appetite sweating rash,9
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, stomach cramps, dehydration, body aches",abdominal pain cramp diarrhea vomiting stomach cramp dehydration body ache,6
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, loss of appetite, muscle aches, body aches, feverish, chills, joint pain",abdominal pain cramp diarrhea nausea loss appetite muscle ache body ache feverish chill joint pain,9
Roseola,10,"high fever, runny nose, rash, fatigue, sore throat, headache, cough, red eyes, abdominal pain, body aches, chills, feverish",high fever runny nose rash fatigue sore throat headache cough red eye abdominal pain body ache chill feverish,12
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, fatigue, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, rashes, fever",diarrhea vomiting stomach cramp fatigue abdominal pain loss appetite dehydration chill sweating body ache rash fever,12
"Hand, Foot, and Mouth Disease",3,"sores in mouth, sore throat, mouth sores, fatigue, cough, general discomfort",sore mouth sore throat mouth sore fatigue cough general discomfort,6
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, stomach cramps, fatigue, muscle aches, general discomfort, chills",fever diarrhea nausea stomach cramp fatigue muscle ache general discomfort chill,8
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, nausea, headache, abdominal pain, loss of appetite, dehydration, rashes, irritability",vomiting stomach cramp low-grade fever nausea headache abdominal pain loss appetite dehydration rash irritability,10
Norovirus Infection,8,"vomiting, stomach cramps, headache, fatigue, loss of appetite, chills, sweating, body aches, general discomfort, irritability",vomiting stomach cramp headache fatigue loss appetite chill sweating body ache general discomfort irritability,10
Shigellosis (Bacillary Dysentery),13,"vomiting, bloody stools, stomach cramps, headache, dehydration, loss of appetite, muscle aches, feverish, general discomfort",vomiting bloody stool stomach cramp headache dehydration loss appetite muscle ache feverish general discomfort,9
Roseola,10,"high fever, runny nose, rash, fatigue, swollen lymph nodes, sore throat, headache, red eyes, diarrhea, vomiting, rashes, feverish",high fever runny nose rash fatigue swollen lymph node sore throat headache red eye diarrhea vomiting rash feverish,12
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, headache, loss of appetite, body aches, rashes",fever diarrhea headache loss appetite body ache rash,6
Scarlet Fever,12,"red rash on the body, pale skin around lips, sore and red throat with patches, difficulty swallowing, tender enlarged neck glands, nausea or vomiting, headache and body aches",red rash body pale skin around lip sore red throat patch difficulty swallowing tender enlarged neck gland nausea vomiting headache body ache,7
Roseola,10,"runny nose, irritability, fatigue, red eyes, diarrhea, vomiting, body aches, rashes, chills, feverish",runny nose irritability fatigue red eye diarrhea vomiting body ache rash chill feverish,10
Roseola,10,"high fever, sore throat, headache, diarrhea, abdominal pain, rashes, feverish",high fever sore throat headache diarrhea abdominal pain rash feverish,7
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, abdominal pain, chills, sweating, rashes, fever, irritability",diarrhea vomiting low-grade fever muscle ache abdominal pain chill sweating rash fever irritability,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, fatigue, muscle aches, general discomfort, chills, joint pain",abdominal pain cramp diarrhea vomiting fatigue muscle ache general discomfort chill joint pain,8
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, stomach cramps, loss of appetite, feverish, rashes, general discomfort, chills, joint pain",fever vomiting stomach cramp loss appetite feverish rash general discomfort chill joint pain,9
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes, cough, red eyes, abdominal pain",high fever runny nose fatigue swollen lymph node cough red eye abdominal pain,7
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, headache, loss of appetite, chills, sweating, body aches, rashes",diarrhea vomiting stomach cramp muscle ache nausea headache loss appetite chill sweating body ache rash,11
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, headache, dehydration, loss of appetite, muscle aches, general discomfort, chills",fever vomiting headache dehydration loss appetite muscle ache general discomfort chill,8
Norovirus Infection,8,"diarrhea, low-grade fever, headache, fatigue, abdominal pain, dehydration, chills, body aches, rashes, fever",diarrhea low-grade fever headache fatigue abdominal pain dehydration chill body ache rash fever,10
Roseola,10,"swollen lymph nodes, headache, loss of appetite, abdominal pain, body aches, feverish",swollen lymph node headache loss appetite abdominal pain body ache feverish,6
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, bloody stools, stomach cramps, headache, dehydration, muscle aches, general discomfort, joint pain",diarrhea nausea bloody stool stomach cramp headache dehydration muscle ache general discomfort joint pain,9
Roseola,10,"high fever, rash, irritability, sore throat, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, rashes, chills",high fever rash irritability sore throat red eye diarrhea vomiting loss appetite abdominal pain rash chill,11
Pertussis (Whooping Cough),9,"nasal discharge, sore watery eyes, exhaustion, low-grade fever, runny nose, vomiting after coughing, fatigue",nasal discharge sore watery eye exhaustion low-grade fever runny nose vomiting coughing fatigue,7
"Hand, Foot, and Mouth Disease",3,"rash on hands and feet, irritability, sore throat, mouth sores, red spots, sore muscles, mild fever",rash hand foot irritability sore throat mouth sore red spot sore muscle mild fever,7
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, headache, fatigue, dehydration, muscle aches, rashes",fever diarrhea nausea headache fatigue dehydration muscle ache rash,8
Roseola,10,"runny nose, rash, fatigue, swollen lymph nodes, headache, red eyes, loss of appetite, abdominal pain, feverish",runny nose rash fatigue swollen lymph node headache red eye loss appetite abdominal pain feverish,9
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, vomiting, dehydration, loss of appetite, feverish, rashes",abdominal pain cramp nausea vomiting dehydration loss appetite feverish rash,7
Roseola,10,"high fever, runny nose, irritability, swollen lymph nodes, sore throat, abdominal pain, body aches, feverish",high fever runny nose irritability swollen lymph node sore throat abdominal pain body ache feverish,8
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, nausea, fatigue, dehydration, body aches, rashes, general discomfort, fever, irritability",diarrhea stomach cramp muscle ache nausea fatigue dehydration body ache rash general discomfort fever irritability,11
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, vomiting, bloody stools, stomach cramps, headache, loss of appetite, body aches, feverish, chills",fever abdominal pain cramp diarrhea vomiting bloody stool stomach cramp headache loss appetite body ache feverish chill,11
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, bloody stools, headache, fatigue, muscle aches, body aches, feverish, chills",fever diarrhea bloody stool headache fatigue muscle ache body ache feverish chill,9
Roseola,10,"high fever, swollen lymph nodes, headache, cough, red eyes, body aches, feverish",high fever swollen lymph node headache cough red eye body ache feverish,7
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, headache, abdominal pain, dehydration, sweating, rashes, fever",diarrhea vomiting stomach cramp muscle ache nausea headache abdominal pain dehydration sweating rash fever,11
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, vomiting, bloody stools, dehydration, loss of appetite, body aches, feverish, chills, joint pain",diarrhea nausea vomiting bloody stool dehydration loss appetite body ache feverish chill joint pain,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, stomach cramps, headache, loss of appetite, rashes, general discomfort",diarrhea stomach cramp headache loss appetite rash general discomfort,6
Roseola,10,"high fever, runny nose, fatigue, headache, cough, red eyes, body aches, rashes",high fever runny nose fatigue headache cough red eye body ache rash,8
Norovirus Infection,8,"diarrhea, nausea, headache, fatigue, body aches, rashes, fever",diarrhea nausea headache fatigue body ache rash fever,7
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, dehydration, chills, sweating, general discomfort",diarrhea stomach cramp low-grade fever muscle ache nausea headache fatigue dehydration chill sweating general discomfort,11
Roseola,10,"runny nose, irritability, fatigue, swollen lymph nodes, sore throat, cough, vomiting, body aches, rashes, chills, feverish",runny nose irritability fatigue swollen lymph node sore throat cough vomiting body ache rash chill feverish,11
Mumps,7,"headache, swollen painful salivary glands, fever, muscle aches, tiredness, loss of appetite",headache swollen painful salivary gland fever muscle ache tiredness loss appetite,6
"Hand, Foot, and Mouth Disease",3,"loss of appetite, blisters, cough, sore muscles, headache, mild fever",loss appetite blister cough sore muscle headache mild fever,6
Roseola,10,"headache, diarrhea, body aches, rashes",headache diarrhea body ache rash,4
Norovirus Infection,8,"muscle aches, headache, fatigue, chills, sweating, general discomfort, irritability",muscle ache headache fatigue chill sweating general discomfort irritability,7
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, vomiting, bloody stools, dehydration, muscle aches, rashes, chills",fever abdominal pain cramp vomiting bloody stool dehydration muscle ache rash chill,8
Roseola,10,"high fever, irritability, fatigue, swollen lymph nodes, headache, cough, diarrhea, vomiting, loss of appetite, abdominal pain, rashes, chills",high fever irritability fatigue swollen lymph node headache cough diarrhea vomiting loss appetite abdominal pain rash chill,12
Norovirus Infection,8,"stomach cramps, low-grade fever, muscle aches, headache, fatigue, loss of appetite, dehydration, irritability",stomach cramp low-grade fever muscle ache headache fatigue loss appetite dehydration irritability,8
"Hand, Foot, and Mouth Disease",3,"sores in mouth, rash on hands and feet, loss of appetite, irritability, sore throat, mouth sores, red spots, cough, mild fever, difficulty swallowing",sore mouth rash hand foot loss appetite irritability sore throat mouth sore red spot cough mild fever difficulty swallowing,10
Roseola,10,"runny nose, irritability, fatigue, swollen lymph nodes, headache, cough, red eyes, diarrhea, abdominal pain, body aches, chills",runny nose irritability fatigue swollen lymph node headache cough red eye diarrhea abdominal pain body ache chill,11
"Hand, Foot, and Mouth Disease",3,"rash on hands and feet, irritability, red spots, sore muscles, headache, general discomfort",rash hand foot irritability red spot sore muscle headache general discomfort,6
Shigellosis (Bacillary Dysentery),13,"vomiting, bloody stools, headache, fatigue, body aches, feverish, rashes, general discomfort, chills",vomiting bloody stool headache fatigue body ache feverish rash general discomfort chill,9
Roseola,10,"high fever, rash, irritability, sore throat, headache, red eyes, diarrhea, loss of appetite, abdominal pain, feverish",high fever rash irritability sore throat headache red eye diarrhea loss appetite abdominal pain feverish,10
Norovirus Infection,8,"stomach cramps, low-grade fever, headache, fatigue, loss of appetite, chills, body aches, general discomfort, irritability",stomach cramp low-grade fever headache fatigue loss appetite chill body ache general discomfort irritability,9
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, dehydration, loss of appetite, muscle aches, rashes, chills, joint pain",fever abdominal pain cramp diarrhea dehydration loss appetite muscle ache rash chill joint pain,9
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, fatigue, dehydration, rashes, general discomfort, fever",vomiting stomach cramp low-grade fever muscle ache nausea fatigue dehydration rash general discomfort fever,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, bloody stools, stomach cramps, loss of appetite, muscle aches, rashes, general discomfort",abdominal pain cramp nausea bloody stool stomach cramp loss appetite muscle ache rash general discomfort,8
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, chills, body aches, rashes, general discomfort, fever, irritability",diarrhea vomiting low-grade fever muscle ache nausea headache fatigue abdominal pain chill body ache rash general discomfort fever irritability,14
Common Cold,0,"scratchy tickly throat, sneezing, low-grade fever, achy muscles and bones, headache, mild fatigue, chills",scratchy tickly throat sneezing low-grade fever achy muscle bone headache mild fatigue chill,7
Scarlet Fever,12,"swollen glands, fever, sore throat, red lines in body folds, red rash on the body, strawberry tongue, pale skin around lips, difficulty swallowing, tender enlarged neck glands, nausea or vomiting, abdominal pain",swollen gland fever sore throat red line body fold red rash body strawberry tongue pale skin around lip difficulty swallowing tender enlarged neck gland nausea vomiting abdominal pain,11
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, stomach cramps, headache, fatigue, dehydration, loss of appetite, muscle aches, body aches, rashes, joint pain",fever abdominal pain cramp diarrhea nausea vomiting stomach cramp headache fatigue dehydration loss appetite muscle ache body ache rash joint pain,14
Roseola,10,"runny nose, swollen lymph nodes, sore throat, loss of appetite, body aches",runny nose swollen lymph node sore throat loss appetite body ache,5
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, bloody stools, headache, dehydration, muscle aches, feverish, rashes",fever abdominal pain cramp diarrhea bloody stool headache dehydration muscle ache feverish rash,9
"Hand, Foot, and Mouth Disease",3,"sores in mouth, sore throat, mouth sores, blisters, fatigue, sore muscles, headache, general discomfort, mild fever",sore mouth sore throat mouth sore blister fatigue sore muscle headache general discomfort mild fever,9
Roseola,10,"irritability, fatigue, swollen lymph nodes, sore throat, cough, diarrhea, vomiting, chills, feverish",irritability fatigue swollen lymph node sore throat cough diarrhea vomiting chill feverish,9
Roseola,10,"rash, irritability, cough, red eyes, loss of appetite, rashes, feverish",rash irritability cough red eye loss appetite rash feverish,7
Roseola,10,"irritability, fatigue, swollen lymph nodes, headache, cough, diarrhea, vomiting, loss of appetite, body aches",irritability fatigue swollen lymph node headache cough diarrhea vomiting loss appetite body ache,9
Shigellosis (Bacillary Dysentery),13,"fever, vomiting, stomach cramps, body aches, rashes, chills",fever vomiting stomach cramp body ache rash chill,6
Roseola,10,"high fever, runny nose, rash, headache, cough, red eyes, diarrhea, loss of appetite, body aches, rashes, chills",high fever runny nose rash headache cough red eye diarrhea loss appetite body ache rash chill,11
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, dehydration, sweating, rashes, general discomfort",diarrhea stomach cramp muscle ache dehydration sweating rash general discomfort,7
Norovirus Infection,8,"low-grade fever, headache, fatigue, abdominal pain, loss of appetite, dehydration, sweating, rashes, fever, irritability",low-grade fever headache fatigue abdominal pain loss appetite dehydration sweating rash fever irritability,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, bloody stools, dehydration, body aches, chills, joint pain",diarrhea bloody stool dehydration body ache chill joint pain,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, stomach cramps, dehydration, feverish, chills, joint pain",fever abdominal pain cramp diarrhea nausea vomiting bloody stool stomach cramp dehydration feverish chill joint pain,11
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, loss of appetite, chills, sweating, body aches, rashes, general discomfort, irritability",diarrhea stomach cramp low-grade fever muscle ache nausea loss appetite chill sweating body ache rash general discomfort irritability,12
Roseola,10,"runny nose, headache, red eyes, rashes, chills, feverish",runny nose headache red eye rash chill feverish,6
Roseola,10,"high fever, runny nose, rash, irritability, swollen lymph nodes, sore throat, cough, red eyes, diarrhea, loss of appetite, abdominal pain, body aches",high fever runny nose rash irritability swollen lymph node sore throat cough red eye diarrhea loss appetite abdominal pain body ache,12
"Hand, Foot, and Mouth Disease",3,"fever, loss of appetite, irritability, sore throat, mouth sores, red spots, blisters, fatigue, cough, sore muscles, headache",fever loss appetite irritability sore throat mouth sore red spot blister fatigue cough sore muscle headache,11
Roseola,10,"runny nose, irritability, swollen lymph nodes, sore throat, headache, red eyes, loss of appetite, body aches, feverish",runny nose irritability swollen lymph node sore throat headache red eye loss appetite body ache feverish,9
Roseola,10,"high fever, swollen lymph nodes, sore throat, headache, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, chills",high fever swollen lymph node sore throat headache red eye diarrhea vomiting loss appetite abdominal pain chill,10
Roseola,10,"high fever, rash, fatigue, swollen lymph nodes, sore throat, cough, red eyes, loss of appetite, abdominal pain, chills, feverish",high fever rash fatigue swollen lymph node sore throat cough red eye loss appetite abdominal pain chill feverish,11
Scarlet Fever,12,"fever, pale skin around lips, sore and red throat with patches, nausea or vomiting, headache and body aches",fever pale skin around lip sore red throat patch nausea vomiting headache body ache,5
Norovirus Infection,8,"stomach cramps, nausea, fatigue, abdominal pain, loss of appetite, chills, body aches, general discomfort",stomach cramp nausea fatigue abdominal pain loss appetite chill body ache general discomfort,8
Roseola,10,"runny nose, rash, irritability, swollen lymph nodes, cough, red eyes, vomiting, abdominal pain, body aches, rashes, chills",runny nose rash irritability swollen lymph node cough red eye vomiting abdominal pain body ache rash chill,11
Norovirus Infection,8,"vomiting, stomach cramps, muscle aches, headache, abdominal pain, loss of appetite, chills, sweating, rashes, general discomfort, fever",vomiting stomach cramp muscle ache headache abdominal pain loss appetite chill sweating rash general discomfort fever,11
"Hand, Foot, and Mouth Disease",3,"fever, irritability, sore throat, mouth sores, red spots, fatigue, cough, general discomfort, mild fever, difficulty swallowing",fever irritability sore throat mouth sore red spot fatigue cough general discomfort mild fever difficulty swallowing,10
"Hand, Foot, and Mouth Disease",3,"fever, loss of appetite, irritability, mouth sores, fatigue, cough, mild fever",fever loss appetite irritability mouth sore fatigue cough mild fever,7
Norovirus Infection,8,"diarrhea, muscle aches, nausea, abdominal pain, chills, sweating, body aches, general discomfort, irritability",diarrhea muscle ache nausea abdominal pain chill sweating body ache general discomfort irritability,9
"Hand, Foot, and Mouth Disease",3,"loss of appetite, sore throat, mouth sores, red spots, sore muscles, headache, mild fever",loss appetite sore throat mouth sore red spot sore muscle headache mild fever,7
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, nausea, fatigue, general discomfort",diarrhea stomach cramp muscle ache nausea fatigue general discomfort,6
Roseola,10,"high fever, irritability, swollen lymph nodes, sore throat, loss of appetite, rashes",high fever irritability swollen lymph node sore throat loss appetite rash,6
Mumps,7,"pain while chewing or swallowing, muscle aches, tiredness, loss of appetite, trouble chewing, testicle pain and tenderness, fever, headache",pain chewing swallowing muscle ache tiredness loss appetite trouble chewing testicle pain tenderness fever headache,8
Roseola,10,"runny nose, irritability, sore throat, headache, cough, red eyes, vomiting, loss of appetite, abdominal pain, body aches, chills, feverish",runny nose irritability sore throat headache cough red eye vomiting loss appetite abdominal pain body ache chill feverish,12
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes, red eyes, vomiting",high fever runny nose fatigue swollen lymph node red eye vomiting,6
Norovirus Infection,8,"diarrhea, nausea, headache, abdominal pain, loss of appetite, chills, general discomfort, fever",diarrhea nausea headache abdominal pain loss appetite chill general discomfort fever,8
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes, sore throat, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, rashes, feverish",high fever runny nose fatigue swollen lymph node sore throat red eye diarrhea vomiting loss appetite abdominal pain rash feverish,12
Norovirus Infection,8,"stomach cramps, low-grade fever, nausea, headache, fatigue, dehydration, chills, general discomfort, fever",stomach cramp low-grade fever nausea headache fatigue dehydration chill general discomfort fever,9
Roseola,10,"irritability, sore throat, cough, red eyes, diarrhea, abdominal pain",irritability sore throat cough red eye diarrhea abdominal pain,6
Roseola,10,"sore throat, headache, cough, vomiting, loss of appetite, rashes, chills",sore throat headache cough vomiting loss appetite rash chill,7
Mumps,7,"headache, swollen painful salivary glands, muscle aches, loss of appetite, trouble chewing, testicle pain and tenderness, fever",headache swollen painful salivary gland muscle ache loss appetite trouble chewing testicle pain tenderness fever,7
Fifth Disease (Erythema Infectiosum),2,"rash on face, sore throat, runny or stuffy nose, mild fever, swollen joints, fever, malaise, myalgias, vomiting",rash face sore throat runny stuffy nose mild fever swollen joint fever malaise myalgia vomiting,9
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, loss of appetite, dehydration, chills, sweating, body aches, rashes, general discomfort, fever",vomiting stomach cramp low-grade fever muscle ache loss appetite dehydration chill sweating body ache rash general discomfort fever,12
Norovirus Infection,8,"diarrhea, low-grade fever, muscle aches, fatigue, abdominal pain, loss of appetite, sweating",diarrhea low-grade fever muscle ache fatigue abdominal pain loss appetite sweating,7
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, nausea, headache, dehydration, chills, sweating, general discomfort",diarrhea vomiting stomach cramp nausea headache dehydration chill sweating general discomfort,9
Norovirus Infection,8,"diarrhea, low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, chills, body aches, irritability",diarrhea low-grade fever muscle ache nausea headache fatigue abdominal pain chill body ache irritability,10
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, abdominal pain, dehydration, rashes, fever, irritability",diarrhea vomiting stomach cramp low-grade fever muscle ache nausea headache fatigue abdominal pain dehydration rash fever irritability,13
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, nausea, headache, loss of appetite, dehydration, fever, irritability",vomiting stomach cramp low-grade fever nausea headache loss appetite dehydration fever irritability,9
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes, body aches",high fever runny nose fatigue swollen lymph node body ache,5
Roseola,10,"high fever, rash, red eyes, abdominal pain, body aches, rashes, feverish",high fever rash red eye abdominal pain body ache rash feverish,7
