drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
Fosamax Plus D,fosamax plus d,Osteoporosis,osteoporosis,alendronate and cholecalciferol,Bisphosphonates,fosamax plus d osteoporosis alendronate and cholecalciferol bisphosphonates,fosamax plus osteoporosis alendronate cholecalciferol bisphosphonates,"diarrhea, headache, constipation, muscle pain, swelling, chest pain, back pain",7
Binosto,binosto,Osteoporosis,osteoporosis,alendronate,Bisphosphonates,binosto osteoporosis alendronate bisphosphonates,binosto osteoporosis alendronate bisphosphonates,"heartburn, upset stomach, stomach pain, nausea, diarrhea, constipation, bone pain, muscle, joint pain",9
Miacalcin,miacalcin,Osteoporosis,osteoporosis,calcitonin-salmon,Calcitonin,miacalcin osteoporosis calcitonin-salmon calcitonin,miacalcin osteoporosis calcitonin-salmon calcitonin,"bleeding from your nose, runny, stuffy nose, dryness, itching, tenderness, general discomfort of your nose, crusting, scabs, sores inside your nose",10
Tymlos,tymlos,Osteoporosis,osteoporosis,abaloparatide,Parathyroid hormone and analogs,tymlos osteoporosis abaloparatide parathyroid hormone and analogs,tymlos osteoporosis abaloparatide parathyroid hormone analog,"dizziness, spinning sensation, headache, fast heart rate, nausea, upper stomach pain, feeling very tired",7
Aclasta,aclasta,Osteoporosis,osteoporosis,zoledronic acid,Bisphosphonates,aclasta osteoporosis zoledronic acid bisphosphonates,aclasta osteoporosis zoledronic acid bisphosphonates,"nausea, vomiting, diarrhea, headache, dizziness, constipation, fever, cough, muscle pain, swelling, bruising",11
Prempro,prempro,Osteoporosis,osteoporosis,conjugated estrogens and medroxyprogesterone,Sex hormone combinations,prempro osteoporosis conjugated estrogens and medroxyprogesterone sex hormone combinations,prempro osteoporosis conjugated estrogen medroxyprogesterone sex hormone combination,"nausea, gas, stomach pain, headache, back pain, depression, weakness, breast pain, itching, thinning scalp hair, vaginal itching, discharge, changes in your menstrual periods, breakthrough bleeding",14
abaloparatide,abaloparatide,Osteoporosis,osteoporosis,abaloparatide,Parathyroid hormone and analogs,abaloparatide osteoporosis abaloparatide parathyroid hormone and analogs,abaloparatide osteoporosis abaloparatide parathyroid hormone analog,"dizziness, spinning sensation, headache, fast heart rate, nausea, upper stomach pain, feeling very tired",7
Calcitrate with D,calcitrate with d,Osteoporosis,osteoporosis,calcium and vitamin D combination,Vitamin and mineral combinations,calcitrate with d osteoporosis calcium and vitamin d combination vitamin and mineral combinations,calcitrate osteoporosis calcium vitamin combination vitamin mineral combination,"nausea, vomiting, headache, drowsiness, constipation, dry mouth, swelling, confusion",8
calcium gluconate,calcium gluconate,Osteoporosis,osteoporosis,Calcium Gluconate Capsules and Tablets,Minerals and electrolytes,calcium gluconate osteoporosis calcium gluconate capsules and tablets minerals and electrolytes,calcium gluconate osteoporosis calcium gluconate capsule tablet mineral electrolyte,"headache, rash, itching, constipation, fever, swelling, confusion",7
calcium lactate,calcium lactate,Osteoporosis,osteoporosis,calcium lactate,Minerals and electrolytes,calcium lactate osteoporosis calcium lactate minerals and electrolytes,calcium lactate osteoporosis calcium lactate mineral electrolyte,"nausea, vomiting, constipation, weight loss, stomach pain, swelling, confusion",7
"calcium phosphate, tribasic","calcium phosphate, tribasic",Osteoporosis,osteoporosis,"calcium phosphate, tribasic (tricalcium phosphate)",Minerals and electrolytes,"calcium phosphate, tribasic osteoporosis calcium phosphate, tribasic (tricalcium phosphate) minerals and electrolytes",calcium phosphate tribasic osteoporosis calcium phosphate tribasic mineral electrolyte,"nausea, vomiting, constipation, weight loss, swelling, confusion",6
conjugated estrogens,conjugated estrogens,Osteoporosis,osteoporosis,conjugated estrogens (oral),Estrogens,conjugated estrogens osteoporosis conjugated estrogens (oral) estrogens,conjugated estrogen osteoporosis conjugated estrogen estrogen,"nausea, vomiting, headache, dizziness, itching, constipation, weight gain, cough, stomach pain, swelling, bleeding, hair loss, chest pain, back pain, confusion",15
Os-Cal Calcium+D3,os-cal calcium+d3,Osteoporosis,osteoporosis,Calcium and Vitamin D Capsules and Tablets,,os-cal calcium+d3 osteoporosis calcium and vitamin d capsules and tablets,os-cal calciumd3 osteoporosis calcium vitamin capsule tablet,"rash, itching, constipation, fever, swelling",5
bazedoxifene / conjugated estrogens,bazedoxifene / conjugated estrogens,Osteoporosis,osteoporosis,bazedoxifene and conjugated estrogens,Sex hormone combinations,bazedoxifene / conjugated estrogens osteoporosis bazedoxifene and conjugated estrogens sex hormone combinations,bazedoxifene conjugated estrogen osteoporosis bazedoxifene conjugated estrogen sex hormone combination,"nausea, diarrhea, headache, dizziness, weight gain, cough, stomach pain, swelling, bleeding, chest pain, confusion",11
Cal-GLU,cal-glu,Osteoporosis,osteoporosis,Calcium Gluconate Capsules and Tablets,Minerals and electrolytes,cal-glu osteoporosis calcium gluconate capsules and tablets minerals and electrolytes,cal-glu osteoporosis calcium gluconate capsule tablet mineral electrolyte,"headache, rash, itching, constipation, fever, swelling, confusion",7
Cal-Lac,cal-lac,Osteoporosis,osteoporosis,Calcium Lactate,Minerals and electrolytes,cal-lac osteoporosis calcium lactate minerals and electrolytes,cal-lac osteoporosis calcium lactate mineral electrolyte,"rash, itching, constipation, fever, swelling",5
Calcitrate,calcitrate,Osteoporosis,osteoporosis,Calcium Citrate,Minerals and electrolytes,calcitrate osteoporosis calcium citrate minerals and electrolytes,calcitrate osteoporosis calcium citrate mineral electrolyte,"headache, rash, itching, constipation, fever, swelling, confusion",7
conjugated estrogens / medroxyprogesterone,conjugated estrogens / medroxyprogesterone,Osteoporosis,osteoporosis,conjugated estrogens and medroxyprogesterone,Sex hormone combinations,conjugated estrogens / medroxyprogesterone osteoporosis conjugated estrogens and medroxyprogesterone sex hormone combinations,conjugated estrogen medroxyprogesterone osteoporosis conjugated estrogen medroxyprogesterone sex hormone combination,"nausea, vomiting, headache, itching, constipation, cough, stomach pain, swelling, bleeding, chest pain, back pain, depression, confusion",13
Duavee,duavee,Osteoporosis,osteoporosis,bazedoxifene and conjugated estrogens,Sex hormone combinations,duavee osteoporosis bazedoxifene and conjugated estrogens sex hormone combinations,duavee osteoporosis bazedoxifene conjugated estrogen sex hormone combination,"dizziness, nausea, stomach pain, discomfort, diarrhea, muscle spasm, throat pain, neck pain",8
esterified estrogens,esterified estrogens,Osteoporosis,osteoporosis,esterified estrogens,Estrogens,esterified estrogens osteoporosis esterified estrogens estrogens,esterified estrogen osteoporosis esterified estrogen estrogen,"nausea, vomiting, headache, dizziness, rash, itching, constipation, fever, cough, stomach pain, swelling, bleeding, skin rash, chest pain, confusion",15
estropipate,estropipate,Osteoporosis,osteoporosis,estropipate,Estrogens,estropipate osteoporosis estropipate estrogens,estropipate osteoporosis estropipate estrogen,"headache, vaginal itching, discharge, changes in your menstrual periods, breakthrough bleeding, bloating, stomach cramps, nausea, vomiting, breast pain, thinning scalp hair, fluid retention",12
Menest,menest,Osteoporosis,osteoporosis,Estrogens (Esterified),Estrogens,menest osteoporosis estrogens (esterified) estrogens,menest osteoporosis estrogen estrogen,"headache, dizziness, rash, itching, fever, cough, stomach pain, swelling, bleeding, chest pain, back pain, depression",12
Os-Cal 500 Chewable,os-cal 500 chewable,Osteoporosis,osteoporosis,Calcium and Vitamin D Chewable Tablets,,os-cal 500 chewable osteoporosis calcium and vitamin d chewable tablets,os-cal 500 chewable osteoporosis calcium vitamin chewable tablet,"rash, itching, constipation, fever, swelling",5
Os-Cal Extra D3,os-cal extra d3,Osteoporosis,osteoporosis,calcium and vitamin D combination,,os-cal extra d3 osteoporosis calcium and vitamin d combination,os-cal extra d3 osteoporosis calcium vitamin combination,"nausea, vomiting, headache, drowsiness, constipation, dry mouth, swelling, confusion",8
Oystercal-D,oystercal-d,Osteoporosis,osteoporosis,calcium and vitamin D combination,Vitamin and mineral combinations,oystercal-d osteoporosis calcium and vitamin d combination vitamin and mineral combinations,oystercal-d osteoporosis calcium vitamin combination vitamin mineral combination,"nausea, vomiting, headache, drowsiness, constipation, dry mouth, swelling, confusion",8
Posture,posture,Osteoporosis,osteoporosis,"calcium phosphate, tribasic (tricalcium phosphate)",Minerals and electrolytes,"posture osteoporosis calcium phosphate, tribasic (tricalcium phosphate) minerals and electrolytes",posture osteoporosis calcium phosphate tribasic mineral electrolyte,"nausea, vomiting, constipation, weight loss, swelling, confusion",6
Premphase,premphase,Osteoporosis,osteoporosis,conjugated estrogens and medroxyprogesterone,Sex hormone combinations,premphase osteoporosis conjugated estrogens and medroxyprogesterone sex hormone combinations,premphase osteoporosis conjugated estrogen medroxyprogesterone sex hormone combination,"nausea, gas, stomach pain, headache, back pain, depression, weakness, breast pain, itching, thinning scalp hair, vaginal itching, discharge, changes in your menstrual periods, breakthrough bleeding",14
romosozumab,romosozumab,Osteoporosis,osteoporosis,romosozumab,Miscellaneous bone resorption inhibitors,romosozumab osteoporosis romosozumab miscellaneous bone resorption inhibitors,romosozumab osteoporosis romosozumab miscellaneous bone resorption inhibitor,"headache, joint pain",2
UPCal D,upcal d,Osteoporosis,osteoporosis,calcium and vitamin D combination,Vitamin and mineral combinations,upcal d osteoporosis calcium and vitamin d combination vitamin and mineral combinations,upcal osteoporosis calcium vitamin combination vitamin mineral combination,"nausea, vomiting, headache, drowsiness, constipation, dry mouth, swelling, confusion",8
oxycodone,oxycodone,Pain,pain,oxycodone,Opioids (narcotic analgesics),oxycodone pain oxycodone opioids (narcotic analgesics),oxycodone pain oxycodone opioids,"drowsiness, dizziness, tiredness, headache, constipation, stomach pain, nausea, vomiting, itching, red eyes, flushing",11
acetaminophen,acetaminophen,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,acetaminophen pain acetaminophen (oral) miscellaneous analgesics,acetaminophen pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
hydrocodone,hydrocodone,Pain,pain,hydrocodone (oral),"Antitussives, Opioids (narcotic analgesics)","hydrocodone pain hydrocodone (oral) antitussives, opioids (narcotic analgesics)",hydrocodone pain hydrocodone antitussive opioids,"constipation, nausea, vomiting, dizziness, drowsiness, feeling tired, headache, cold symptoms such as stuffy nose, sneezing, sore throat",10
Tylenol,tylenol,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,tylenol pain acetaminophen (oral) miscellaneous analgesics,tylenol pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
methadone,methadone,Pain,pain,methadone (oral/injection),Opioids (narcotic analgesics),methadone pain methadone (oral/injection) opioids (narcotic analgesics),methadone pain methadone opioids,"dizziness, drowsiness, nausea, vomiting, increased sweating, pain, redness, swelling where the medicine was injected",8
acetaminophen / hydrocodone,acetaminophen / hydrocodone,Pain,pain,acetaminophen and hydrocodone,Narcotic analgesic combinations,acetaminophen / hydrocodone pain acetaminophen and hydrocodone narcotic analgesic combinations,acetaminophen hydrocodone pain acetaminophen hydrocodone narcotic analgesic combination,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, fever, stomach pain, swelling",12
Dilaudid,dilaudid,Pain,pain,hydromorphone (oral),Opioids (narcotic analgesics),dilaudid pain hydromorphone (oral) opioids (narcotic analgesics),dilaudid pain hydromorphone opioids,"constipation, nausea, vomiting, stomach pain, dizziness, drowsiness, headache, tired feeling, feelings of extreme happiness, sadness, sweating, mild itching, dry mouth, flushing warmth, redness, tingly feeling",16
buprenorphine,buprenorphine,Pain,pain,buprenorphine (oral/sublingual),Opioids (narcotic analgesics),buprenorphine pain buprenorphine (oral/sublingual) opioids (narcotic analgesics),buprenorphine pain buprenorphine opioids,"nausea, vomiting, diarrhea, headache, dizziness, itching, insomnia, constipation, fever, stomach pain, muscle pain, swelling, chest pain",13
OxyContin,oxycontin,Pain,pain,oxycodone,Opioids (narcotic analgesics),oxycontin pain oxycodone opioids (narcotic analgesics),oxycontin pain oxycodone opioids,"drowsiness, headache, dizziness, tiredness, constipation, stomach pain, nausea, vomiting",8
Buprenex,buprenex,Pain,pain,buprenorphine injection,Opioids (narcotic analgesics),buprenex pain buprenorphine injection opioids (narcotic analgesics),buprenex pain buprenorphine injection opioids,"drowsiness, constipation, dizziness, spinning sensation, nausea, vomiting, increased sweating, headache, blurred vision, double vision",10
Percocet,percocet,Pain,pain,acetaminophen and oxycodone,Narcotic analgesic combinations,percocet pain acetaminophen and oxycodone narcotic analgesic combinations,percocet pain acetaminophen oxycodone narcotic analgesic combination,"dizziness, drowsiness, feeling tired, headache, constipation, nausea, vomiting, stomach pain, blurred vision, itching, red eyes, flushing, feelings of extreme happiness, sadness, dry mouth",15
Paracetamol,paracetamol,Pain,pain,"paracetamol Brand names: Panadol, Calpol, Tylenol , Alvedon",Miscellaneous analgesics,"paracetamol pain paracetamol brand names: panadol, calpol, tylenol , alvedon miscellaneous analgesics",paracetamol pain paracetamol brand name panadol calpol tylenol alvedon miscellaneous analgesic,"nausea, rash, itching, weight loss, swelling, bleeding, bruising, skin rash",8
ketorolac,ketorolac,Pain,pain,ketorolac (nasal),Nonsteroidal anti-inflammatory drugs,ketorolac pain ketorolac (nasal) nonsteroidal anti-inflammatory drugs,ketorolac pain ketorolac nonsteroidal anti-inflammatory drug,"heartburn, stomach pain, gas, nausea, vomiting, diarrhea, constipation, slow heartbeats, decreased urination, abnormal liver function tests, increased blood pressure, pain, irritation in your nose, runny nose, watery eyes, throat irritation, rash",17
Ultram,ultram,Pain,pain,tramadol,Opioids (narcotic analgesics),ultram pain tramadol opioids (narcotic analgesics),ultram pain tramadol opioids,"constipation, nausea, vomiting, stomach pain, dizziness, drowsiness, tiredness, headache, itching",9
acetaminophen / oxycodone,acetaminophen / oxycodone,Pain,pain,acetaminophen and oxycodone,Narcotic analgesic combinations,acetaminophen / oxycodone pain acetaminophen and oxycodone narcotic analgesic combinations,acetaminophen oxycodone pain acetaminophen oxycodone narcotic analgesic combination,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, fever, stomach pain, swelling, bleeding, bruising, confusion",15
Demerol,demerol,Pain,pain,meperidine,Opioids (narcotic analgesics),demerol pain meperidine opioids (narcotic analgesics),demerol pain meperidine opioids,"dizziness, drowsiness, headache, nausea, vomiting, sweating",6
Nucynta,nucynta,Pain,pain,tapentadol,Opioids (narcotic analgesics),nucynta pain tapentadol opioids (narcotic analgesics),nucynta pain tapentadol opioids,"constipation, nausea, vomiting, stomach pain, headache, feeling tired, drowsiness, dizziness",8
hydromorphone,hydromorphone,Pain,pain,hydromorphone (oral),Opioids (narcotic analgesics),hydromorphone pain hydromorphone (oral) opioids (narcotic analgesics),hydromorphone pain hydromorphone opioids,"drowsiness, tiredness, dizziness, headache, constipation, nausea, vomiting, stomach pain",8
Roxicodone,roxicodone,Pain,pain,oxycodone,Opioids (narcotic analgesics),roxicodone pain oxycodone opioids (narcotic analgesics),roxicodone pain oxycodone opioids,"drowsiness, headache, dizziness, tiredness, constipation, stomach pain, nausea, vomiting",8
Tylenol Arthritis Pain,tylenol arthritis pain,Pain,pain,Acetaminophen Controlled-Release Tablets,Miscellaneous analgesics,tylenol arthritis pain pain acetaminophen controlled-release tablets miscellaneous analgesics,tylenol arthritis pain pain acetaminophen controlled-release tablet miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
morphine,morphine,Pain,pain,morphine (oral),Opioids (narcotic analgesics),morphine pain morphine (oral) opioids (narcotic analgesics),morphine pain morphine opioids,"drowsiness, dizziness, tiredness, constipation, stomach pain, nausea, vomiting, sweating, feelings of extreme happiness, sadness",10
Fentanyl Transdermal System,fentanyl transdermal system,Pain,pain,Fentanyl Transdermal System,Opioids (narcotic analgesics),fentanyl transdermal system pain fentanyl transdermal system opioids (narcotic analgesics),fentanyl transdermal system pain fentanyl transdermal system opioids,"diarrhea, headache, dizziness, rash, itching, constipation, fever, stomach pain, swelling, chest pain, depression, confusion",12
pregabalin,pregabalin,Pain,pain,pregabalin,Gamma-aminobutyric acid analogs,pregabalin pain pregabalin gamma-aminobutyric acid analogs,pregabalin pain pregabalin gamma-aminobutyric acid analog,"dizziness, drowsiness, swelling in your hands and feet, trouble concentrating, increased appetite, weight gain, dry mouth, blurred vision",8
acetaminophen / tramadol,acetaminophen / tramadol,Pain,pain,acetaminophen and tramadol,Narcotic analgesic combinations,acetaminophen / tramadol pain acetaminophen and tramadol narcotic analgesic combinations,acetaminophen tramadol pain acetaminophen tramadol narcotic analgesic combination,"nausea, vomiting, diarrhea, dizziness, rash, itching, drowsiness, constipation, fever, stomach pain, swelling, chest pain",12
hydrocodone / ibuprofen,hydrocodone / ibuprofen,Pain,pain,hydrocodone and ibuprofen,Narcotic analgesic combinations,hydrocodone / ibuprofen pain hydrocodone and ibuprofen narcotic analgesic combinations,hydrocodone ibuprofen pain hydrocodone ibuprofen narcotic analgesic combination,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, weight gain, fever, cough, stomach pain, swelling, bleeding, skin rash, chest pain",17
fentanyl,fentanyl,Pain,pain,"fentanyl Brand names: Actiq (lozenge), Lazanda (nasal spray), Fentora (sublingual tablet), Subsys (sublingual spray)",Opioids (narcotic analgesics),"fentanyl pain fentanyl brand names: actiq (lozenge), lazanda (nasal spray), fentora (sublingual tablet), subsys (sublingual spray) opioids (narcotic analgesics)",fentanyl pain fentanyl brand name actiq lazanda fentora subsys opioids,"headache, dizziness, drowsiness, pale skin, feeling weak, tired constipation, nausea, vomiting, stomach pain, sleep problems swelling in your hands, feet increased sweating, cold feeling for patches itching, redness, rash where a patch was worn",14
oxymorphone,oxymorphone,Pain,pain,oxymorphone,Opioids (narcotic analgesics),oxymorphone pain oxymorphone opioids (narcotic analgesics),oxymorphone pain oxymorphone opioids,"dizziness, drowsiness, headache, tiredness, stomach pain, nausea, vomiting, constipation",8
tapentadol,tapentadol,Pain,pain,tapentadol,Opioids (narcotic analgesics),tapentadol pain tapentadol opioids (narcotic analgesics),tapentadol pain tapentadol opioids,"constipation, nausea, vomiting, stomach pain, headache, feeling tired, drowsiness, dizziness",8
Tylenol 8 Hour,tylenol 8 hour,Pain,pain,Acetaminophen Controlled-Release Tablets,Miscellaneous analgesics,tylenol 8 hour pain acetaminophen controlled-release tablets miscellaneous analgesics,tylenol hour pain acetaminophen controlled-release tablet miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Altenol,altenol,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"altenol pain acetaminophen (oral route, rectal route) miscellaneous analgesics",altenol pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Arthritis Pain Relief,arthritis pain relief,Pain,pain,"acetaminophen (oral route, rectal route)",,"arthritis pain relief pain acetaminophen (oral route, rectal route)",arthritis pain relief pain acetaminophen,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Feverall,feverall,Pain,pain,acetaminophen (rectal),Miscellaneous analgesics,feverall pain acetaminophen (rectal) miscellaneous analgesics,feverall pain acetaminophen miscellaneous analgesic,"nausea, rash, itching, fever, stomach pain, swelling",6
Flector Patch,flector patch,Pain,pain,diclofenac topical system (patch),Topical non-steroidal anti-inflammatories,flector patch pain diclofenac topical system (patch) topical non-steroidal anti-inflammatories,flector patch pain diclofenac topical system topical non-steroidal anti-inflammatory,"heartburn, gas, stomach pain, nausea, vomiting, diarrhea, constipation, mild itching, burning, redness, other skin irritation where the patch was worn",11
Mapap,mapap,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,mapap pain acetaminophen (oral) miscellaneous analgesics,mapap pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
meperidine,meperidine,Pain,pain,meperidine (oral/injection),Opioids (narcotic analgesics),meperidine pain meperidine (oral/injection) opioids (narcotic analgesics),meperidine pain meperidine opioids,"dizziness, drowsiness, headache, nausea, vomiting, sweating",6
MS Contin,ms contin,Pain,pain,morphine (oral),Opioids (narcotic analgesics),ms contin pain morphine (oral) opioids (narcotic analgesics),m contin pain morphine opioids,"nausea, vomiting, diarrhea, dizziness, itching, drowsiness, constipation, fever, stomach pain, swelling, chest pain",11
Abenol,abenol,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"abenol pain acetaminophen (oral route, rectal route) miscellaneous analgesics",abenol pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Acephen,acephen,Pain,pain,acetaminophen (rectal),Miscellaneous analgesics,acephen pain acetaminophen (rectal) miscellaneous analgesics,acephen pain acetaminophen miscellaneous analgesic,"nausea, rash, itching, stomach pain, swelling",5
Actamin,actamin,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,actamin pain acetaminophen (oral) miscellaneous analgesics,actamin pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Actimol Children's,actimol children's,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"actimol children's pain acetaminophen (oral route, rectal route) miscellaneous analgesics",actimol childrens pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Actimol Infant,actimol infant,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"actimol infant pain acetaminophen (oral route, rectal route) miscellaneous analgesics",actimol infant pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Advil Children's,advil children's,Pain,pain,ibuprofen (oral route),Nonsteroidal anti-inflammatory drugs,advil children's pain ibuprofen (oral route) nonsteroidal anti-inflammatory drugs,advil childrens pain ibuprofen nonsteroidal anti-inflammatory drug,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, fatigue, drowsiness, constipation, dry mouth, weight gain, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, hair loss, chest pain, appetite loss, tremor, depression, confusion, blurred vision",26
Advil Infant's Concentrated Drops,advil infant's concentrated drops,Pain,pain,ibuprofen (oral route),Nonsteroidal anti-inflammatory drugs,advil infant's concentrated drops pain ibuprofen (oral route) nonsteroidal anti-inflammatory drugs,advil infant concentrated drop pain ibuprofen nonsteroidal anti-inflammatory drug,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, fatigue, drowsiness, constipation, dry mouth, weight gain, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, hair loss, chest pain, appetite loss, tremor, depression, confusion, blurred vision",26
Aminofen,aminofen,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"aminofen pain acetaminophen (oral route, rectal route) miscellaneous analgesics",aminofen pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Anacin Aspirin Free,anacin aspirin free,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,anacin aspirin free pain acetaminophen (oral) miscellaneous analgesics,anacin aspirin free pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
Apra,apra,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"apra pain acetaminophen (oral route, rectal route) miscellaneous analgesics",apra pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Atasol,atasol,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"atasol pain acetaminophen (oral route, rectal route) miscellaneous analgesics",atasol pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Aurophen,aurophen,Pain,pain,acetaminophen (oral),,aurophen pain acetaminophen (oral),aurophen pain acetaminophen,"rash, itching, stomach pain, swelling",4
Caldolor,caldolor,Pain,pain,ibuprofen injection,Nonsteroidal anti-inflammatory drugs,caldolor pain ibuprofen injection nonsteroidal anti-inflammatory drugs,caldolor pain ibuprofen injection nonsteroidal anti-inflammatory drug,"nausea, vomiting, gas, headache, dizziness",5
Cetafen,cetafen,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"cetafen pain acetaminophen (oral route, rectal route) miscellaneous analgesics",cetafen pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Children's Motrin,children's motrin,Pain,pain,ibuprofen (oral route),Nonsteroidal anti-inflammatory drugs,children's motrin pain ibuprofen (oral route) nonsteroidal anti-inflammatory drugs,childrens motrin pain ibuprofen nonsteroidal anti-inflammatory drug,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, fatigue, drowsiness, constipation, dry mouth, weight gain, fever, cough, stomach pain, muscle pain, swelling, bleeding, bruising, hair loss, chest pain, appetite loss, tremor, depression, confusion, blurred vision",26
Children's Silapap,children's silapap,Pain,pain,Acetaminophen Liquid,Miscellaneous analgesics,children's silapap pain acetaminophen liquid miscellaneous analgesics,childrens silapap pain acetaminophen liquid miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Children's Tylenol,children's tylenol,Pain,pain,acetaminophen (oral),Miscellaneous analgesics,children's tylenol pain acetaminophen (oral) miscellaneous analgesics,childrens tylenol pain acetaminophen miscellaneous analgesic,"rash, itching, stomach pain, swelling",4
ConZip,conzip,Pain,pain,tramadol,Opioids (narcotic analgesics),conzip pain tramadol opioids (narcotic analgesics),conzip pain tramadol opioids,"constipation, nausea, vomiting, stomach pain, dizziness, drowsiness, tiredness, headache, itching",9
Dolono,dolono,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"dolono pain acetaminophen (oral route, rectal route) miscellaneous analgesics",dolono pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Duragesic,duragesic,Pain,pain,fentanyl transdermal (skin patch),Opioids (narcotic analgesics),duragesic pain fentanyl transdermal (skin patch) opioids (narcotic analgesics),duragesic pain fentanyl transdermal opioids,"headache, dizziness, drowsiness, tiredness, nausea, vomiting, stomach pain, diarrhea, constipation, itching, redness, rash where a patch was worn, sleep problems, increased sweating, cold feeling",15
Febrol Solution,febrol solution,Pain,pain,Acetaminophen Liquid,Miscellaneous analgesics,febrol solution pain acetaminophen liquid miscellaneous analgesics,febrol solution pain acetaminophen liquid miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Genapap,genapap,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"genapap pain acetaminophen (oral route, rectal route) miscellaneous analgesics",genapap pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Genebs,genebs,Pain,pain,"acetaminophen (oral route, rectal route)",Miscellaneous analgesics,"genebs pain acetaminophen (oral route, rectal route) miscellaneous analgesics",genebs pain acetaminophen miscellaneous analgesic,"nausea, vomiting, diarrhea, rash, itching, fever, swelling, bleeding, bruising, skin rash",10
Infant's Tylenol,infant's tylenol,Pain,pain,Acetaminophen Suspension Drops,Miscellaneous analgesics,infant's tylenol pain acetaminophen suspension drops miscellaneous analgesics,infant tylenol pain acetaminophen suspension drop miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Jr. Tylenol,jr. tylenol,Pain,pain,Acetaminophen Dispersible Tablets,Miscellaneous analgesics,jr. tylenol pain acetaminophen dispersible tablets miscellaneous analgesics,jr tylenol pain acetaminophen dispersible tablet miscellaneous analgesic,"rash, itching, fever, stomach pain, swelling",5
Kadian,kadian,Pain,pain,morphine (oral),Opioids (narcotic analgesics),kadian pain morphine (oral) opioids (narcotic analgesics),kadian pain morphine opioids,"drowsiness, dizziness, tiredness, constipation, stomach pain, nausea, vomiting, sweating, feelings of extreme happiness, sadness",10
